check_id,severity,component,status,evidence,recommendation
CODE002,WARNING,label_construction,close_to_close_forward_label,Labels are constructed as future close-to-close returns: stock close.shift(-horizon)/close - 1 and benchmark close.shift(-horizon)/close - 1.,"This is acceptable as a supervised target, but it is not an executable T+1 open/VWAP backtest return. Add execution-price labels before production claims."
DATA003,WARNING,mart_dataset,style_or_microstructure_features_detected,"Suspicious feature count=42. Examples=['lag1_amount_log', 'lag1_vol_log', 'lag1_log_total_mv', 'lag1_log_circ_mv', 'lag1_turnover_rate', 'lag1_turnover_rate_f', 'lag1_volume_ratio', 'lag1_net_mf_amount_to_amount', 'lag1_gap_open', 'lag1_intraday_return', 'lag1_benchmark_ret_1d', 'lag1_industry_turnover_rank', 'lag1_industry_amount_rank', 'lag1_is_limit_up', 'lag1_is_limit_down', 'lag1_has_price_limit', 'lag1_limit_ratio', 'lag1_dist_to_limit_up', 'lag1_dist_to_limit_down', 'lag1_limit_position', 'lag1_near_limit_up_2pct', 'lag1_near_limit_down_2pct', 'lag1_limit_touch_up', 'lag1_limit_touch_down', 'lag1_amount_rank_pct', 'lag1_turnover_cost_proxy', 'lag1_turnover_acceleration', 'lag1_weekday', 'lag1_month', 'lag1_is_month_end', 'lag1_amount_5d_mean', 'lag1_amount_10d_mean', 'lag1_amount_20d_mean', 'lag1_amount_60d_mean', 'lag1_turnover_5d_mean', 'lag1_turnover_10d_mean', 'lag1_turnover_20d_mean', 'lag1_turnover_60d_mean', 'lag1_turnover_5d_std', 'lag1_turnover_10d_std', 'lag1_turnover_20d_std', 'lag1_turnover_60d_std']","These fields are not necessarily leaked, but they require style, liquidity, and execution attribution before production use."
LBL003,WARNING,labels,execution_label_missing,"Current label table has future_return and benchmark_future_return, but no explicit next_open_return, next_vwap_return, buy_executable, sell_executable, or fillability columns.",Add execution-price labels and executable flags before production-like backtests.
MSK002,WARNING,strict_mask,same_day_limit_filter_detected,"filter_log contains mask_locked_limit. In current clean_dataset implementation, this is derived from same trade_date state, not an explicit next-session fillability simulation.",Use this as a conservative sample filter only. Add next-open buy/sell executable flags for production backtests.
CFG002,INFO,labels_config,label_policy_declared,"configs\labels.yaml declares default_horizon=5, label_mode=relative_return.",Document exact signal timestamp and execution timestamp for this horizon.
CFG001,PASS,features_config,lag_policy_declared,"configs\features.yaml declares future_shift_allowed=false, dataset_requires_lagged_features_only=true, feature_availability='lag1_close_to_next_session'.",Keep this policy and verify it against actual dataset columns.
CFG003,PASS,clean_feature_config,controls_separated,configs\feature_sets\advanced_sequence_clean_v1.yaml separates raw controls from model tensor and enables strict tradable mask.,Keep controls out of model input unless a specific ablation opts in.
CODE001,PASS,source_code,negative_shift_scan_clean,No unapproved negative shift found in audited mart/backtest scripts.,Continue scanning new feature scripts before accepting results.
CODE003,PASS,feature_construction,lagged_feature_shift_found,add_lagged_features uses grouped[column].shift(1) for lag1_ features.,Keep raw same-day features out of model-ready datasets.
DATA001,PASS,mart_dataset,all_feature_columns_lagged,All 95 feature columns use lag1_ prefix.,"Still verify that lag1_ columns are created with shift(1), not just named lag1_."
DATA002,PASS,mart_dataset,unique_trade_date_ts_code,"Rows=241643, date_range=20160104..20260518, duplicate_keys=0.",Keep key uniqueness checks in CI for every dataset rebuild.
LBL001,PASS,labels,unique_label_keys,"Rows=242938, date_range=20160104..20260525, null_counts={'future_return': 1295, 'benchmark_future_return': 500, 'label_rel_return': 1295}.",Keep label key uniqueness checks for every rebuild.
LBL002,PASS,labels,relative_label_identity_pass,max_abs(future_return - benchmark_future_return - label_rel_return)=0.,Identity check passes; execution timing still needs separate audit.
MSK001,PASS,strict_mask,filter_keys_unique,"Rows=241643, keep_rate=0.8772, mask_rates={'mask_state_missing': 0.0, 'mask_state_not_tradable': 0.0, 'mask_st': 0.0, 'mask_suspended': 0.0, 'mask_price_invalid': 0.0, 'mask_volume_invalid': 0.0, 'mask_locked_limit': 0.008371854347115373, 'mask_low_amount': 0.08381372520619261, 'mask_microcap': 0.05308243979755259}.",Keep filter-key uniqueness checks for every rebuild.
